Total battles: 200850
Avg. weight/team: 0.668
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Incineroar         | 38.27594% | 143336 | 35.682% | 82283  | 44.086% |
| 2    | Kingambit          | 37.88198% | 129128 | 32.145% | 59849  | 32.066% |
| 3    | Garchomp           | 33.38330% | 122858 | 30.585% | 63088  | 33.801% |
| 4    | Charizard-Mega-Y   | 29.59055% | 100499 | 25.018% | 48281  | 25.868% |
| 5    | Sinistcha          | 28.94761% | 114621 | 28.534% | 56872  | 30.471% |
| 6    | Basculegion        | 26.29507% | 95189  | 23.697% | 50779  | 27.206% |
| 7    | Sneasler           | 22.69995% | 84227  | 20.968% | 43659  | 23.392% |
| 8    | Farigiraf          | 20.91236% | 83857  | 20.876% | 36915  | 19.778% |
| 9    | Whimsicott         | 20.27227% | 84018  | 20.916% | 37752  | 20.227% |
| 10   | Floette-Mega       | 16.74472% | 56190  | 13.988% | 19301  | 10.341% |
| 11   | Sylveon            | 16.15767% | 58308  | 14.515% | 29118  | 15.601% |
| 12   | Archaludon         | 13.84196% | 53878  | 13.412% | 29951  | 16.047% |
| 13   | Pelipper           | 13.24828% | 55477  | 13.811% | 33413  | 17.902% |
| 14   | Grimmsnarl         | 11.78677% | 48292  | 12.022% | 23540  | 12.612% |
| 15   | Staraptor-Mega     | 11.17874% | 44384  | 11.049% | 18103  |  9.699% |
| 16   | Delphox-Mega       | 10.73992% | 37572  |  9.353% | 11137  |  5.967% |
| 17   | Aerodactyl-Mega    | 10.25111% | 35592  |  8.860% | 10300  |  5.519% |
| 18   | Gholdengo          |  9.78316% | 38687  |  9.631% | 16720  |  8.958% |
| 19   | Swampert-Mega      |  8.88511% | 35963  |  8.953% | 15998  |  8.571% |
| 20   | Venusaur           |  8.62434% | 30234  |  7.527% | 13961  |  7.480% |
| 21   | Milotic            |  7.92958% | 31970  |  7.959% | 13209  |  7.077% |
| 22   | Raichu-Mega-Y      |  7.82590% | 31912  |  7.944% | 13823  |  7.406% |
| 23   | Blastoise-Mega     |  7.68698% | 26968  |  6.713% | 9367   |  5.019% |
| 24   | Ninetales-Alola    |  6.83700% | 26607  |  6.624% | 12287  |  6.583% |
| 25   | Toxapex            |  6.65491% | 23989  |  5.972% | 11496  |  6.159% |
| 26   | Metagross-Mega     |  6.62643% | 27416  |  6.825% | 9206   |  4.932% |
| 27   | Maushold           |  6.36190% | 25750  |  6.410% | 11664  |  6.249% |
| 28   | Tyranitar-Mega     |  6.12466% | 24330  |  6.057% | 13278  |  7.114% |
| 29   | Gengar-Mega        |  5.85392% | 23187  |  5.772% | 9641   |  5.165% |
| 30   | Froslass-Mega      |  5.36237% | 20351  |  5.066% | 8280   |  4.436% |
| 31   | Venusaur-Mega      |  5.35485% | 19299  |  4.804% | 7493   |  4.015% |
| 32   | Hydreigon          |  4.95858% | 18716  |  4.659% | 9372   |  5.021% |
| 33   | Torkoal            |  4.84700% | 22153  |  5.515% | 12221  |  6.548% |
| 34   | Excadrill          |  4.82008% | 18144  |  4.517% | 9127   |  4.890% |
| 35   | Annihilape         |  4.48412% | 17640  |  4.391% | 7175   |  3.844% |
| 36   | Mawile-Mega        |  4.43734% | 19182  |  4.775% | 7542   |  4.041% |
| 37   | Talonflame         |  4.10199% | 18124  |  4.512% | 7317   |  3.920% |
| 38   | Blaziken-Mega      |  4.01952% | 15229  |  3.791% | 6073   |  3.254% |
| 39   | Ceruledge          |  3.72577% | 15440  |  3.844% | 6948   |  3.723% |
| 40   | Aerodactyl         |  3.70643% | 16449  |  4.095% | 6184   |  3.313% |
| 41   | Rotom-Wash         |  3.47971% | 17635  |  4.390% | 8717   |  4.670% |
| 42   | Vivillon           |  3.47129% | 12493  |  3.110% | 5607   |  3.004% |
| 43   | Politoed           |  3.39217% | 13744  |  3.421% | 8182   |  4.384% |
| 44   | Scovillain-Mega    |  3.23639% | 12421  |  3.092% | 3776   |  2.023% |
| 45   | Kommo-o            |  3.21985% | 10872  |  2.706% | 4700   |  2.518% |
| 46   | Lycanroc-Dusk      |  2.83697% | 9876   |  2.459% | 4061   |  2.176% |
| 47   | Dragonite          |  2.63825% | 9794   |  2.438% | 4032   |  2.160% |
| 48   | Mamoswine          |  2.46449% | 9826   |  2.446% | 4632   |  2.482% |
| 49   | Sableye            |  2.44199% | 14032  |  3.493% | 5933   |  3.179% |
| 50   | Glimmora           |  2.36499% | 8868   |  2.208% | 4288   |  2.297% |
| 51   | Gardevoir-Mega     |  2.15791% | 8722   |  2.171% | 4290   |  2.298% |
| 52   | Primarina          |  2.05150% | 10211  |  2.542% | 5280   |  2.829% |
| 53   | Arcanine-Hisui     |  1.98647% | 7802   |  1.942% | 3734   |  2.001% |
| 54   | Scrafty-Mega       |  1.82553% | 8746   |  2.177% | 4039   |  2.164% |
| 55   | Tyranitar          |  1.82201% | 8360   |  2.081% | 4597   |  2.463% |
| 56   | Corviknight        |  1.78877% | 8823   |  2.196% | 3372   |  1.807% |
