Total battles: 1269250
Avg. weight/team: 0.071
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       |
+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- +
| 1    | Kingambit          | 40.74192% | 687654 | 27.089% | 297382 | 25.633% |
| 2    | Basculegion        | 30.39518% | 519208 | 20.453% | 275817 | 23.774% |
| 3    | Garchomp           | 27.54920% | 601412 | 23.692% | 307861 | 26.536% |
| 4    | Incineroar         | 26.84631% | 625939 | 24.658% | 336134 | 28.973% |
| 5    | Sneasler           | 26.64290% | 534497 | 21.056% | 265964 | 22.925% |
| 6    | Whimsicott         | 24.39747% | 565067 | 22.260% | 239065 | 20.606% |
| 7    | Sinistcha          | 23.79411% | 663058 | 26.120% | 308626 | 26.602% |
| 8    | Farigiraf          | 22.55958% | 515907 | 20.323% | 216494 | 18.661% |
| 9    | Charizard-Mega-Y   | 21.08663% | 336895 | 13.271% | 157150 | 13.546% |
| 10   | Staraptor-Mega     | 18.61174% | 366110 | 14.422% | 141734 | 12.217% |
| 11   | Sylveon            | 17.15276% | 316224 | 12.457% | 151980 | 13.100% |
| 12   | Floette-Mega       | 13.25719% | 209884 |  8.268% | 73534  |  6.338% |
| 13   | Raichu-Mega-Y      | 12.56665% | 266328 | 10.492% | 104248 |  8.986% |
| 14   | Archaludon         | 10.93822% | 256009 | 10.085% | 136105 | 11.732% |
| 15   | Gholdengo          | 10.32722% | 235803 |  9.289% | 101639 |  8.761% |
| 16   | Delphox-Mega       |  9.88398% | 191124 |  7.529% | 64526  |  5.562% |
| 17   | Pelipper           |  9.48305% | 284034 | 11.189% | 158467 | 13.659% |
| 18   | Blastoise-Mega     |  8.47511% | 134721 |  5.307% | 55817  |  4.811% |
| 19   | Grimmsnarl         |  7.71785% | 204842 |  8.069% | 104663 |  9.021% |
| 20   | Froslass-Mega      |  7.43746% | 157126 |  6.190% | 60448  |  5.210% |
| 21   | Milotic            |  7.43457% | 226189 |  8.910% | 94941  |  8.184% |
| 22   | Maushold           |  7.32460% | 172549 |  6.797% | 76194  |  6.568% |
| 23   | Aerodactyl-Mega    |  6.60005% | 111119 |  4.377% | 33021  |  2.846% |
| 24   | Swampert-Mega      |  6.51157% | 160207 |  6.311% | 76311  |  6.578% |
| 25   | Ninetales-Alola    |  6.47724% | 159061 |  6.266% | 73869  |  6.367% |
| 26   | Tyranitar-Mega     |  6.23465% | 164573 |  6.483% | 87559  |  7.547% |
| 27   | Venusaur           |  6.12049% | 106229 |  4.185% | 46730  |  4.028% |
| 28   | Gengar-Mega        |  5.95415% | 135950 |  5.356% | 58820  |  5.070% |
| 29   | Arcanine-Hisui     |  5.72018% | 110877 |  4.368% | 54980  |  4.739% |
| 30   | Torkoal            |  5.67102% | 155450 |  6.124% | 83027  |  7.157% |
| 31   | Excadrill          |  5.21173% | 122177 |  4.813% | 64663  |  5.574% |
| 32   | Metagross-Mega     |  4.84075% | 128254 |  5.052% | 46295  |  3.990% |
| 33   | Scovillain-Mega    |  4.83363% | 98459  |  3.879% | 34407  |  2.966% |
| 34   | Kommo-o            |  4.78775% | 79182  |  3.119% | 33285  |  2.869% |
| 35   | Glimmora           |  4.43269% | 94549  |  3.725% | 45100  |  3.887% |
| 36   | Politoed           |  4.13202% | 94450  |  3.721% | 53363  |  4.600% |
| 37   | Dragonite-Mega     |  4.07507% | 92879  |  3.659% | 34585  |  2.981% |
| 38   | Dragonite          |  3.92100% | 67336  |  2.653% | 27002  |  2.327% |
| 39   | Mawile-Mega        |  3.75795% | 107384 |  4.230% | 46646  |  4.021% |
| 40   | Talonflame         |  3.71071% | 141086 |  5.558% | 53931  |  4.649% |
| 41   | Venusaur-Mega      |  3.57385% | 74853  |  2.949% | 31293  |  2.697% |
| 42   | Tyranitar          |  3.50020% | 109144 |  4.300% | 61880  |  5.334% |
| 43   | Toxapex            |  3.22582% | 85848  |  3.382% | 41325  |  3.562% |
